PC_Name,No,Type,State,Winning_candidate,Party,Electors,Vote,Turnout,Margin,Margin_in_percentage,year
Attingal,19,GEN,Kerala,Adv. A Sampath,Communist Party Of India (MARXIST),1091432,725168,66.4,18341,2.5,2009
Chalakudy,11,GEN,Kerala,K.P. Dhanapalan,Indian National Congress,1075390,794306,73.9,71679,9.0,2009
Ernakulam,12,GEN,Kerala,Prof. K V Thomas,Indian National Congress,1023053,745856,72.9,11790,1.6,2009
Idukki,13,GEN,Kerala,Adv. P.T Thomas,Indian National Congress,1062849,787236,74.1,74796,9.5,2009
Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1069725,867040,81.1,43151,5.0,2009
Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1113892,848205,76.2,64427,7.6,2009
Kollam,18,GEN,Kerala,N.Peethambarakurup,Indian National Congress,1108686,754928,68.1,17531,2.3,2009
Kottayam,14,GEN,Kerala,Jose K.Mani (Karingozheckal),Kerala Congress(M),1095242,809844,73.9,71570,8.8,2009
Kozhikode,5,GEN,Kerala,M.K. Raghavan,Indian National Congress,1053817,799996,75.9,838,0.1,2009
Malappuram,6,GEN,Kerala,E. Ahamed,Muslim League Kerala State Committee,1019713,784713,77.0,115597,14.7,2009
Mavelikkara,16,SC,Kerala,Kodikkunnil Suresh,Indian National Congress,1142993,806273,70.5,48048,6.0,2009
Palakkad,8,GEN,Kerala,M.B. Rajesh,Communist Party Of India (MARXIST),1074818,790872,73.6,1820,0.2,2009
Pathanamthitta,17,GEN,Kerala,Anto Antony Punnathaniyil,Indian National Congress,1213370,798232,65.8,111206,13.9,2009
Ponnani,7,GEN,Kerala,E.T. Muhammed Basheer,Muslim League Kerala State Committee,997075,770205,77.3,82684,10.7,2009
Thiruvananthapuram,20,GEN,Kerala,Shashi Tharoor,Indian National Congress,1122047,740023,66.0,99998,13.5,2009
Thrissur,10,GEN,Kerala,P C Chacko,Indian National Congress,1174161,817245,69.6,25151,3.1,2009
Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1071171,866349,80.9,56186,6.5,2009
Wayanad,4,GEN,Kerala,M.I. Shanavas,Indian National Congress,1102097,825047,74.9,153439,18.6,2009
Alappuzha,15,GEN,Kerala,K C Venugopal,Indian National Congress,1271324,997464,78.5,19407,1.9,2014
Alathur,9,SC,Kerala,P.K.Biju,Communist Party Of India (MARXIST),1216351,927228,76.2,37312,4.0,2014
Attingal,19,GEN,Kerala,Dr.A .Sampath,Communist Party Of India (MARXIST),1251398,859350,68.7,69378,8.1,2014
Chalakudy,11,GEN,Kerala,Innocent,Independent,1150491,884033,76.8,13884,1.6,2014
Ernakulam,12,GEN,Kerala,Prof. K.V. Thomas,Indian National Congress,1156467,850834,73.6,87047,10.2,2014
Idukki,13,GEN,Kerala,Adv.Joice George,Independent,1158735,819766,70.8,50542,6.2,2014
Kannur,2,GEN,Kerala,P K Sreemathi Teacher,Communist Party Of India (MARXIST),1170266,947117,80.9,6566,0.7,2014
Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1243730,974215,78.3,6921,0.7,2014
Kollam,18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1219415,879056,72.1,37649,4.3,2014
Kottayam,14,GEN,Kerala,Jose K. Mani,Kerala Congress(M),1161463,831636,71.6,120599,14.5,2014
Kozhikode,5,GEN,Kerala,M .K Raghavan,Indian National Congress,1182484,943009,79.8,16883,1.8,2014
Malappuram,6,GEN,Kerala,E. Ahamed,Indian Union Muslim League,1198444,853467,71.2,194739,22.8,2014
Mavelikara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1252668,889060,71.0,32737,3.7,2014
Palakkad,8,GEN,Kerala,M B Rajesh,Communist Party Of India (MARXIST),1208758,910322,75.3,105300,11.6,2014
Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1323906,869452,65.7,56191,6.5,2014
Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,1180789,871592,73.8,25410,2.9,2014
Thiruvananthapuram,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1272748,873439,68.6,15470,1.8,2014
Thrissur,10,GEN,Kerala,C. N. Jayadevan,Communist Party Of India,1275288,920505,72.2,38227,4.2,2014
Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1182504,959342,81.1,3306,0.3,2014
Wayanad,4,GEN,Kerala,M I Shanavas,Indian National Congress,1249420,915006,73.2,20870,2.3,2014
Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),1298061,1088728,84.3,10474,1.0,2019
Alathur,9,SC,Kerala,Ramya Haridas,Indian National Congress,1219063,1018743,84.2,158968,15.6,2019
Attingal,19,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,1313675,1004888,76.9,38247,3.8,2019
Chalakudy,11,GEN,Kerala,Benny Behanan,Indian National Congress,1163476,990224,85.8,132274,13.4,2019
Ernakulam,12,GEN,Kerala,Hibi Eden,Indian National Congress,1190575,967203,81.7,169153,17.5,2019
Idukki,13,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,1160824,919297,79.7,171053,18.6,2019
Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1201236,1053842,88.1,94559,9.0,2019
Kasaragod,1,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,1305827,1100051,84.6,40438,3.7,2019
Kollam,18,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1242521,968123,78.4,148856,15.4,2019
Kottayam,14,GEN,Kerala,Thomas Chazhikadan,Kerala Congress(M),1168104,910339,78.6,106259,11.7,2019
Kozhikode,5,GEN,Kerala,M.K.Raghavan,Indian National Congress,1245068,1076193,86.7,85225,7.9,2019
Malappuram,6,GEN,Kerala,P.K. Kunhalikutty,Indian Union Muslim League,1306617,1034618,79.5,260153,25.1,2019
Mavelikkara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1264914,971035,77.2,61138,6.3,2019
Palakkad,8,GEN,Kerala,V K Sreekandan,Indian National Congress,1274734,1028249,81.2,11637,1.1,2019
Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1332683,1026553,77.3,44243,4.3,2019
Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,1265341,1017265,80.9,193273,19.0,2019
Thiruvananthap,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1330409,1010180,76.3,99989,9.9,2019
Thrissur,10,GEN,Kerala,T. N. Prathapan,Indian National Congress,1268671,1041869,82.5,93633,9.0,2019
Vadakara,3,GEN,Kerala,K. Muraleedharan,Indian National Congress,1207556,1065619,88.5,84663,7.9,2019
Wayanad,4,GEN,Kerala,Rahul Gandhi,Indian National Congress,1306141,1092197,83.8,431770,39.5,2019
